IATA Code,Air Carrier Name
AS,Alaska Airlines
G4,Allegiant Air LLC 
AA,American Airlines
DL,"Delta Air Lines, Inc. "
9E,Endeavor Air 
MQ,Envoy Air 
EV,ExpressJet Airlines 
F9,"Frontier Airlines, Inc. "
HA,Hawaiian Airlines Inc. 
B6,Jetblue Airways Corporation 
OH,Jetstream Intl 
YV,"Mesa Airlines, Inc. "
YX,Republic Airlines 
OO,Skywest Airlines 
WN,Southwest Airlines 
NK,"Spirit Airlines, Inc. "
UA,"United Airlines, Inc. "
